Controller,HTTP Method,Endpoint
admin,GET,/admin/dashboard
analytics,GET,/admin/analytics/summary
analytics,GET,/admin/analytics/revenue
analytics,GET,/admin/analytics/booking-status
analytics,GET,/admin/analytics/top-cars
analytics,GET,/admin/analytics/payment-methods
analytics,GET,/admin/analytics/user-growth
dashboard,GET,/admin/dashboard/stats
dashboard,GET,/admin/dashboard/activity
amenities,GET,/amenities
amenities,GET,/amenities/:id
app,GET,/
auth,POST,/auth/register
auth,POST,/auth/login
auth,POST,/auth/admin/login
auth,POST,/auth/verify-otp
auth,POST,/auth/resend-otp
auth,POST,/auth/forgot-password
auth,POST,/auth/reset-password
auth,GET,/auth/profile
auth,POST,/auth/change-password
backup,GET,/backup
backup,GET,/restore
bookings,PATCH,/bookings/sign-agreement/:id
bookings,GET,/bookings/:id/agreement/pdf
bookings,GET,/bookings/availability/:carId
bookings,GET,/bookings
bookings,GET,/bookings/my-bookings
bookings,GET,/bookings/vendor-bookings
bookings,GET,/bookings/debug/claims
bookings,GET,/bookings/admin/claims
bookings,PATCH,/bookings/admin/claims/:id/status
bookings,GET,/bookings/:id
bookings,PATCH,/bookings/:id/claim
bookings,POST,/bookings
bookings,PATCH,/bookings/:id/approve
bookings,POST,/bookings/:id/request-delay
bookings,POST,/bookings/:id/extend
bookings,PATCH,/bookings/:id/reject
bookings,PATCH,/bookings/:id/cancel-vendor
bookings,PATCH,/bookings/:id/cancel-customer
bookings,GET,/bookings/:id/refund-preview
bookings,POST,/bookings/:id/verify-condition
bookings,PATCH,/bookings/:id/accept-condition
bookings,PATCH,/bookings/:id/late-response
bookings,POST,/bookings/:id/verify-return
bookings,PATCH,/bookings/:id/accept-return
bookings,PATCH,/bookings/:id/reject-condition
bookings,PATCH,/bookings/:id/reject-return
bookings,POST,/bookings/:id/report-host
bookings,PATCH,/bookings/:id/check-in
bookings,PATCH,/bookings/:id/check-out
reports,GET,/reports
brands,GET,/brands
brands,POST,/brands
brands,PATCH,/brands/:id
brands,DELETE,/brands/:id
car-types,POST,/car-types
car-types,GET,/car-types
car-types,GET,/car-types/:id
car-types,PATCH,/car-types/:id
car-types,DELETE,/car-types/:id
cars,GET,/cars/destinations
cars,POST,/cars/ai-autofill
cars,GET,/cars/check-permalink/:permalink
cars,POST,/cars
cars,GET,/cars
cars,GET,/cars/all/admin_view
cars,GET,/cars/vendor/me
cars,GET,/cars/:id
cars,PATCH,/cars/:id
cars,PATCH,/cars/:id/status
cars,GET,/cars/vendor/:id
cars,DELETE,/cars/:id
chat,GET,/chat/admin/conversations
chat,GET,/chat/conversations/:userId
chat,GET,/chat/messages/:conversationId
chat,POST,/chat/conversation
coupons,POST,/coupons
coupons,GET,/coupons
coupons,POST,/coupons/validate
coupons,GET,/coupons/:id
coupons,PATCH,/coupons/:id
coupons,DELETE,/coupons/:id
currencies,POST,/currencies
currencies,GET,/currencies
currencies,PATCH,/currencies/:id
currencies,DELETE,/currencies/:id
destinations,GET,/destinations
destinations,GET,/destinations/admin/all
destinations,POST,/destinations
destinations,PATCH,/destinations/:id
destinations,POST,/destinations/:id/image
destinations,POST,/destinations/reorder
destinations,DELETE,/destinations/:id
languages,POST,/languages
languages,GET,/languages
languages,PATCH,/languages/:id
languages,DELETE,/languages/:id
media,POST,/media/upload
newsletter,POST,/newsletter/subscribe
notifications,GET,/notifications
notifications,PATCH,/notifications/:id/read
notifications,PATCH,/notifications/read-all
pages,POST,/pages
pages,GET,/pages
pages,GET,/pages/:id
pages,GET,/pages/slug/:slug
pages,PATCH,/pages/:id
pages,DELETE,/pages/:id
payments,POST,/payments/create-session/:bookingId
payments,POST,/payments/webhook
payments,POST,/payments/capture-paypal/:orderId
payments,POST,/payments/finalize-stripe/:sessionId
reviews,POST,/reviews
reviews,GET,/reviews/featured
reviews,GET,/reviews/car/:carId
reviews,GET,/reviews/user/:userId
reviews,GET,/reviews/stats/:userId
reviews,GET,/reviews/host/:userId
reviews,GET,/reviews/booking/:bookingId
settings,GET,/settings
settings,PATCH,/settings
settings,POST,/settings/upload
settings,GET,/settings/meta/currencies
settings,GET,/settings/meta/languages
settings,GET,/settings/meta/timezones
settings,GET,/settings/payments
settings,POST,/settings/payments
settings,PATCH,/settings/payments/:id
settings,DELETE,/settings/payments/:id
users,POST,/users/wishlist/toggle
users,GET,/users/wishlist/:userId
users,GET,/users
users,GET,/users/:id
users,POST,/users
users,PUT,/users/:id
users,DELETE,/users/:id
users,POST,/users/recover
verification,POST,/verification/submit
verification,GET,/verification/my-status
verification,GET,/verification
verification,PATCH,/verification/:id/approve
verification,PATCH,/verification/:id/reject
wallet,GET,/wallet/balance
wallet,GET,/wallet/transactions
wallet,POST,/wallet/add-funds
wallet,POST,/wallet/create-checkout-session
wallet,POST,/wallet/capture-paypal/:orderId
wallet,POST,/wallet/capture-stripe/:sessionId
wallet,GET,/wallet/payout-method
wallet,POST,/wallet/payout-method
wallet,GET,/wallet/stats
wallet,POST,/wallet/withdraw
wallet,POST,/wallet/admin/update-balance
wallet,GET,/wallet/admin/withdrawals
wallet,POST,/wallet/admin/withdrawals/:id/approve
wallet,POST,/wallet/admin/withdrawals/:id/reject
